Scenario,Surge_Cap,Total_Revenue,Avg_Price,Price_Std_Dev
Baseline,None,1863330.887961557,17.290045263123503,4.080692800876451
Cap_1.20,1.2,1838418.5384565233,17.058880925465797,3.418728115113564
Cap_1.10,1.1,1829264.5800804785,16.97394037321009,3.3327326791300336
Cap_1.05,1.05,1824687.6008924562,16.931470097082244,3.309429817905144
