,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
price,538845.0,17.273794838961113,9.577210118811784,2.5,9.5,16.0,24.0,97.5,91.72295365987084,0.9397179389904995,1.0285329693505219
surge_multiplier,538845.0,1.0176530356596052,0.10322314566137578,1.0,1.0,1.0,1.0,3.0,0.0106550178002296,7.339151598154542,62.39155737045115
distance,538845.0,2.2316261633679444,1.1393228228191015,0.02,1.33,2.24,2.98,7.86,1.2980564945964859,0.807460369169028,1.1294206194272274
temperature,538845.0,39.56454763429187,6.787822659570948,18.91,36.27,40.49,43.61,57.22,46.074536457784816,-0.6022826281226695,0.7036832296497688
