Metric,Value
R²,0.17854689509987787
Adjusted R²,0.1781732265535666
RMSE ($),8.698410447231094
MAE ($),7.164993265343712
MAPE (%),58.040615044632574
Median_AE ($),6.719378068940969
Test_Observations,107769.0
Predictors,49.0
Training_Observations,431076.0
